	date	quantity	goods	goods_cluster	amount	unit	year
996	30 jan. 1666	400 balen	sijde	sijde	80000	lb.	1666
1002	30 nov. 1724	40 ponden	rijs	rijst	40	lb.	1724
1005	31 jan. 1692	24147	slaven	slaven	24147		1692
1020	12 dec. 1642	89 lasten	peper	peper	222500	lb.	1642
1021	12 dec. 1642	52 bharen	nagelen	nagelen	26000	lb.	1642
1025	12 dec. 1642	300 balen	sijde	sijde	60000	lb.	1642
1033	12 dec. 1642	222	slaven	slaven	222		1642
1034	12 dec. 1642	116	slaven	slaven	116		1642
1035	12 dec. 1642	500 000 taylen	silver	silver	500		1642
1037	12 dec. 1642	500 lasten	peper	peper	1250000	lb.	1642
1054	30 nov. 1711	7 sacken vuyle	peper	peper	7	zakken	1711
1059	30 nov. 1711	25000 8	thin	thin	25000		1711
1063	7 maart 1643	400 lasten	rijs	rijst	1000000	lb.	1643
1064	7 maart 1643	600 lasten	peper	peper	1500000	lb.	1643
1065	7 maart 1643	170 lasten	peper	peper	425000	lb.	1643
1070	13 dec. 1626	200 picol	sijde	sijde	25000	lb.	1626
1071	13 dec. 1626	70 picol	sijde	sijde	8750	lb.	1626
1073	13 dec. 1626	350 bharen	peper	peper	175000	lb.	1626
1074	13 dec. 1626	50 bharen	peper	peper	25000	lb.	1626
1081	13 dec. 1626	100	rijs	rijst	100		1626
1095	31 jan. 1670	30 picol	peper	peper	3750	lb.	1670
1096	31 jan. 1670	700 picol	peper	peper	87500	lb.	1670
1099	31 oktober 1728	120.000 ®	nagelen	nagelen	120000		1728
1101	14 jan. 1715	5 kistjes	koper	koper	5	kisten	1715
1102	14 jan. 1715	133552	koper	koper	133552		1715
1104	14 jan. 1715	15300 ®	thin	thin	15300		1715
1105	14 jan. 1715	20 290360 ®	peper	peper	20		1715
1106	14 jan. 1715	2389 ponden	nagelen	nagelen	2389	lb.	1715
1113	28 febr. 1687	500 p.1	peper	peper	62500	lb.	1687
1114	28 febr. 1687	300 p.ls	peper	peper	37500	lb.	1687
1119	31 december 1751	4938 picols	sappanhout	sappanhout	617250	lb.	1751
1120	31 december 1751	150 lasten	rijst	rijst	375000	lb.	1751
1121	31 december 1751	391 gantings	rijst	rijst	5200.3	lb.	1751
1122	31 december 1751	31.756 bossen	padij	padij	31756	bossen	1751
1123	31 december 1751	18 gantings	rijst	rijst	239.4	lb.	1751
1124	31 december 1751	4521 bossen	padij	padij	4521	bossen	1751
1138	31 december 1751	564.937 lb.	peeper	peper	564937	lb.	1751
1140	31 december 1751	1000 picols	thin	thin	125000	lb.	1751
1141	31 december 1751	5489-^ picols	peper	peper	5489		1751
1143	31 december 1751	1.167.959 lb.	peper	peper	1167		1751
1144	31 december 1751	1.200.000 lb.	thin	thin	1200		1751
1159	31 december 1751	5750 picols	thee	thee	718750	lb.	1751
1169	31 december 1751	308.375 lb.	thin	thin	308375	lb.	1751
1172	31 december 1751	7000 picols	peper	peper	875000	lb.	1751
1173	31 december 1751	1.200.000 lb.	thin	thin	1200		1751
1184	31 december 1751	15 thailen	goud	goud	1.125	lb.	1751
1212	31 december 1751	2 soekels	foelij	foelij	322	lb.	1751
1226	31 december 1751	4875 lb.	indigo	indigo	4875	lb.	1751
1227	31 december 1751	903.631 lb.	peeper	peper	903631	lb.	1751
1230	31 december 1751	1.065.938 lb.	peeper	peper	1065		1751
1233	31 december 1751	1.373.571 lb.	thin	thin	1373		1751
1236	31 december 1751	9059 lb.	indigo	indigo	9059	lb.	1751
1244	31 december 1751	476 soekels	foelij	foelij	76636	lb.	1751
1249	31 december 1751	8.314 lb.	indigo	indigo	8314	lb.	1751
1253	20 nov. 1713	10 balen	canneel	kaneel	2000	lb.	1713
1256	20 nov. 1713	70 balen	zijde	zijde	14000	lb.	1713
1258	20 nov. 1713	100 lasten	rijs	rijst	250000	lb.	1713
1261	30 nov. 1719	250 bhaaren	peper	peper	125000	lb.	1719
1267	28 febr. 1675	3.933.519	canneel	kaneel	3933		1675
1268	28 febr. 1675	6.609.902 ®	canneel	kaneel	6609		1675
1278	12 december 1739. Kopie	10 lasten	rijst	rijst	25000	lb.	1739
1279	12 december 1739. Kopie	6 lasten	rijst	rijst	15000	lb.	1739
1281	12 december 1739. Kopie	120 gantings	rijst	rijst	1596.0	lb.	1739
1283	12 december 1739. Kopie	16 stukken	padij	padij	16	stuks	1739
1284	12 december 1739. Kopie	100 lb.	goud	goud	100	lb.	1739
1324	12 december 1739. Kopie	1000 coyangs	rijst	rijst	1625000	lb.	1739
1337	14 februari 1732	15.000 kisten	koper	koper	15000	kisten	1732
1339	14 februari 1732	15 bharen ronde	peper	peper	7500	lb.	1732
1341	14 februari 1732	385 bharen	thin	thin	192500	lb.	1732
1347	14 februari 1732	61.494 lb	thin	thin	61494	lb.	1732
1351	14 februari 1732	93 kisten	silver	silver	93	kisten	1732
1355	14 februari 1732	500 lb	peper	peper	500	lb.	1732
1359	8 maart 1686	100 kloeke	slaven	slaven	100	stuks	1686
1362	8 maart 1686	180	slaven	slaven	180		1686
1363	4 sept. 1703	19000 sacken	salpeter	salpeter	19000	zakken	1703
1365	4 sept. 1703	37 ®	canneel	kaneel	37		1703
1366	30 nov. 1716	4 sacken	rijst	rijst	4	zakken	1716
1368	30 nov. 1716	140 picols	peper	peper	17500	lb.	1716
1374	31 december 1744	10 lasten	rijst	rijst	25000	lb.	1744
1375	31 december 1744	1000 bossen	padij	padij	1000	bossen	1744
1379	31 december 1744	10.000 kisten	koper	koper	10000	kisten	1744
1380	31 december 1744	10.000 kisten	koper	koper	10000	kisten	1744
1381	31 december 1744	14 lasten	rijst	rijst	35000	lb.	1744
1386	31 december 1744	48 1 lb.	peeper	peper	48		1744
1388	31 december 1744	24.000 lb.	peeper	peper	24000	lb.	1744
1391	31 december 1744	348 lb.	peeper	peper	348	lb.	1744
1395	31 december 1744	1\	canneel	kaneel	1		1744
1400	31 december 1744	18	peeper	peper	18		1744
1402	31 december 1744	2050 2970 920	rijs	rijst	2050		1744
1407	12 januari 1740	205 lasten	rijst	rijst	512500	lb.	1740
1410	12 januari 1740	8 lasten	rijst	rijst	20000	lb.	1740
1412	12 januari 1740	40 lb.	rijst	rijst	40	lb.	1740
1458	12 januari 1740	43.120 lb.	foelij	foelij	43120	lb.	1740
1483	26 dec. 1637	100 picols	sijde	sijde	12500	lb.	1637
1487	15 oktober 1756	625 balen	peper	peper	125000	lb.	1756
1490	15 oktober 1756	80.000 lb.	foelij	foelij	80000	lb.	1756
1494	12 dec. 1641	190 lasten	peper	peper	475000	lb.	1641
1495	12 dec. 1641	800 balen	sijde	sijde	160000	lb.	1641
1499	12 dec. 1641	300 balen	sijde	sijde	60000	lb.	1641
1500	12 dec. 1641	200	sijde	sijde	200		1641
1501	12 dec. 1641	220 lasten	peper	peper	550000	lb.	1641
1504	12 dec. 1641	600 balen	sijde	sijde	120000	lb.	1641
1511	12 dec. 1641	170 lasten	peper	peper	425000	lb.	1641
1540	13 maart 1680	10 coyanghs	padij	padij	16250	lb.	1680
1541	13 maart 1680	4 lasten	rijs	rijst	10000	lb.	1680
1543	13 maart 1680	200 p.ls	sappanhout	sappanhout	25000	lb.	1680
1545	13 maart 1680	14	salpeter	salpeter	14		1680
1546	13 maart 1680	8000 man	salpeter	salpeter	400000	lb.	1680
1549	13 maart 1680	1500 packen	canneel	kaneel	1500	pakken	1680
1558	16 dec. 1660	40 ®	rijs	rijst	40		1660
1561	16 dec. 1660	114 tail	gout	goud	8.549999999999999	lb.	1660
1562	16 dec. 1660	15919 catty	peper	peper	19898.75	lb.	1660
1563	16 dec. 1660	660 tail	gout	goud	49.5	lb.	1660
1564	16 dec. 1660	8097 catti	peper	peper	10121.25	lb.	1660
1567	16 dec. 1660	3695 stucx	rijs	rijst	3695	stuks	1660
1570	16 dec. 1660	180 lasten	rijs	rijst	450000	lb.	1660
1584	31 december 1745	88| lb.	rijst	rijst	88		1745
1589	31 december 1745	1000 lb.	thin	thin	1000	lb.	1745
1595	31 december 1745	10.000 kisten	koper	koper	10000	kisten	1745
1596	31 december 1745	0.000 kisten	koper	koper	0000	kisten	1745
1597	31 december 1745	48	thin	thin	48		1745
1623	31 december 1745	6000 balen	canneel	kaneel	1200000	lb.	1745
1625	31 december 1745	600.000 lb.	peper	peper	600000	lb.	1745
1627	31 december 1745	50.000 lb.	peper	peper	50000	lb.	1745
1629	31 december 1745	20.000 lb.	peper	peper	20000	lb.	1745
1635	31 december 1745	616 lb.	foelij	foelij	616	lb.	1745
1646	31 december 1745	1242 lb.	nagelen	nagelen	1242	lb.	1745
1656	31 december 1745	100.000 lb.	peper	peper	100000	lb.	1745
1657	31 december 1745	12.500 lb.	koper	koper	12500	lb.	1745
1663	31 december 1745	462 lb.	foelij	foelij	462	lb.	1745
1671	31 december 1745	10.224.200 lb.	rijst	rijst	10224		1745
1672	31 december 1745	5885 lb.	indigo	indigo	5885	lb.	1745
1704	31 december 1745	125 lasten	rijs	rijst	312500	lb.	1745
1707	31 december 1745	5750 lb.	indigo	indigo	5750	lb.	1745
1708	15 jan. 1721	1600 picols	peper	peper	200000	lb.	1721
1709	15 jan. 1721	37 ©	nagelen	nagelen	37		1721
1711	15 jan. 1721	10 cattys	silver	silver	12.5	lb.	1721
1715	17 dec. 1657	50 bhaer	peper	peper	25000	lb.	1657
1716	17 dec. 1657	600 bharen	thin	thin	300000	lb.	1657
1718	17 dec. 1657	670 bhaer	canneel	kaneel	335000	lb.	1657
1721	17 dec. 1657	62 lasten	rijs	rijst	155000	lb.	1657
1726	17 dec. 1657	35 000 tail	silver	silver	35		1657
1748	19 jan. 1697	3171	slaven	slaven	3171		1697
1749	19 jan. 1697	281165	silver	silver	281165		1697
1750	19 jan. 1697	300	rijs	rijst	300		1697
1751	19 jan. 1697	1900 candylen	peper	peper	950000	lb.	1697
1754	19 jan. 1697	53 £	rijs	rijst	53		1697
1757	19 jan. 1697	955750	peper	peper	955750		1697
1759	25 nov. 1708	300 bharen	thin	thin	150000	lb.	1708
1763	25 nov. 1708	1000 picols	peper	peper	125000	lb.	1708
1765	25 nov. 1708	798 balen	canneel	kaneel	159600	lb.	1708
1775	31 december 1756	546 sockels	foelij	foelij	87906	lb.	1756
1777	31 december 1756	267 sockels	foelij	foelij	42987	lb.	1756
1779	31 december 1756	172 sockels	foelij	foelij	27692	lb.	1756
1783	31 december 1756	215 lasten	rijst	rijst	537500	lb.	1756
1784	31 december 1756	5996 bossen	padij	padij	5996	bossen	1756
1785	31 december 1756	300 lasten	rijst	rijst	750000	lb.	1756
1786	31 december 1756	6000 bossen	padij	padij	6000	bossen	1756
1787	31 december 1756	1230 picols	sappanhout	sappanhout	153750	lb.	1756
1791	31 december 1756	228 gantings	rijst	rijst	3032.4	lb.	1756
1792	31 december 1756	1804 bossen	padij	padij	1804	bossen	1756
1795	31 december 1756	207 lasten	rijst	rijst	517500	lb.	1756
1796	31 december 1756	7800 bossen	padij	padij	7800	bossen	1756
1797	31 december 1756	268 gantings	rijst	rijst	3564.4	lb.	1756
1798	31 december 1756	3631 bossen	padij	padij	3631	bossen	1756
1799	31 december 1756	228 gantings	rijst	rijst	3032.4	lb.	1756
1800	31 december 1756	1804 bossen	padij	padij	1804	bossen	1756
1802	31 december 1756	21.005 bossen	padij	padij	21005	bossen	1756
1803	31 december 1756	13 lasten	rijst	rijst	32500	lb.	1756
1804	31 december 1756	4639 bossen	padij	padij	4639	bossen	1756
1823	31 december 1756	688.000	rijst	rijst	688000		1756
1824	31 december 1756	273.750	sappanhout	sappanhout	273750		1756
1826	31 december 1756	392	indigo	indigo	392		1756
1828	31 december 1756	1000	slaven	slaven	1000		1756
1829	31 december 1756	700 lasten	rijst	rijst	1750000	lb.	1756
1831	31 december 1756	41	rijst	rijst	41		1756
1832	31 december 1756	50.000 lb.	sappanhout	sappanhout	50000	lb.	1756
1833	31 december 1756	10.904	thin	thin	10904		1756
1840	31 december 1756	400.000 lb.	sappanhout	sappanhout	400000	lb.	1756
1841	31 december 1756	62.683	thin	thin	62683		1756
1845	31 december 1756	3224 picols	thee	thee	403000	lb.	1756
1848	31 december 1756	1000 bharen	thin	thin	500000	lb.	1756
1849	31 december 1756	thailen 5540,- schaars	goud	goud	5540,		1756
1875	31 december 1756	40.000 lb.	salpeter	salpeter	40000	lb.	1756
1877	31 december 1756	5000 stux	peper	peper	5000	stuks	1756
1879	31 december 1756	1000 candijlen	peeper	peper	500000	lb.	1756
1880	31 december 1756	100 candijlen	peeper	peper	50000	lb.	1756
1887	31 december 1756	1875 lb.	indigo	indigo	1875	lb.	1756
1892	31 december 1756	7000 lb.	peeper	peper	7000	lb.	1756
1894	31 december 1756	9625 lb.	indigo	indigo	9625	lb.	1756
1896	31 december 1756	4190 bossen	padij	padij	4190	bossen	1756
1898	31 december 1756	1039 balen	canneel	kaneel	207800	lb.	1756
1899	31 december 1756	2250 lb.	nagelen	nagelen	2250	lb.	1756
1901	31 december 1756	62.500	peeper	peper	62500		1756
1906	31 december 1756	4000 lb.	canneel	kaneel	4000	lb.	1756
1911	10 dec. 1690	100 bharen	peper	peper	50000	lb.	1690
1912	22 dec. 1661	10	rijs	rijst	10		1661
1924	23 dec. 1644	20 picols	thin	thin	2500	lb.	1644
1932	23 dec. 1644	100 catty	silver	silver	125.0	lb.	1644
1936	23 dec. 1644	3 picols	thin	thin	375	lb.	1644
1937	23 dec. 1644	2 bhaer	peper	peper	1000	lb.	1644
1939	23 dec. 1644	3 bharen	thin	thin	1500	lb.	1644
1941	23 dec. 1644	700 balen	sijde	sijde	140000	lb.	1644
1944	16 febr. 1669	4 stuckjes	gout	goud	4	stuks	1669
1947	18 jan. 1649	40 lasten	rijs	rijst	100000	lb.	1649
1952	18 jan. 1649	20 000	nagelen	nagelen	20		1649
1955	18 jan. 1649	400 balen	sijde	sijde	80000	lb.	1649
1956	18 jan. 1649	37 bael	sijde	sijde	7400	lb.	1649
1957	18 jan. 1649	6 tonnen	gout	goud	12000	lb.	1649
1958	18 jan. 1649	61 000 ®	peper	peper	61		1649
1959	18 jan. 1649	42 balen	sijde	sijde	8400	lb.	1649
1965	18 jan. 1649	100 ponden	rijs	rijst	100	lb.	1649
1967	18 jan. 1649	1200 000 ponden	peper	peper	1200		1649
1972	18 jan. 1649	3000picol	peper	peper	375000	lb.	1649
1973	18 jan. 1649	384 lasten	rijs	rijst	960000	lb.	1649
1976	18 jan. 1649	60 bharen	nagelen	nagelen	30000	lb.	1649
1980	18 jan. 1649	20	zijde	zijde	20		1649
1982	8 januari 1686	2200	rijs	rijst	2200		1686
1989	13 sept. 1625	300 bhaer	nagelen	nagelen	150000	lb.	1625
1990	19 dec. 1671	70 lasten	rijs	rijst	175000	lb.	1671
1994	19 dec. 1671	200 bharen	thin	thin	100000	lb.	1671
2003	19 dec. 1671	1302 lasten	rijs	rijst	3255000	lb.	1671
2004	19 dec. 1671	800 lasten	rijs	rijst	2000000	lb.	1671
2005	31 januari 1728	1500	slaven	slaven	1500		1728
2007	24 jan. 1652	50 bharen	thin	thin	25000	lb.	1652
2009	24 jan. 1652	400	rijs	rijst	400		1652
2012	24 jan. 1652	686 packen	zijde	zijde	686	pakken	1652
2021	24 jan. 1652	100 picol	nagelen	nagelen	12500	lb.	1652
2027	19 febr. 1716	15 koyangs	peper	peper	24375	lb.	1716
2028	19 febr. 1716	125	thin	thin	125		1716
2029	19 febr. 1716	10 kattys	goud	goud	12.5	lb.	1716
2034	8 maart 1621	200 picol	peper	peper	25000	lb.	1621
2046	16 dec. 1659	300 bhaeren	thin	thin	150000	lb.	1659
2063	15 maart 1746	50 coyangs	rijst	rijst	81250	lb.	1746
2066	15 maart 1746	25 balen	canneel	kaneel	5000	lb.	1746
2070	22 april 1662	108 \	zijde	zijde	108		1662
2071	22 april 1662	335 balen	zijde	zijde	67000	lb.	1662
2072	22 april 1662	97	zijde	zijde	97		1662
2073	22 april 1662	101	zijde	zijde	101		1662
2074	22 april 1662	400 packen	zijde	zijde	400	pakken	1662
2077	24 dec. 1652	30 bhaer	nagelen	nagelen	15000	lb.	1652
2078	24 dec. 1652	10	rijs	rijst	10		1652
2079	24 dec. 1652	200 bharen	nagelen	nagelen	100000	lb.	1652
2081	24 dec. 1652	22	slaven	slaven	22		1652
2086	24 dec. 1652	6 lasten	rijs	rijst	15000	lb.	1652
